epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta_start,mean_beta_end,mean_t_switch
1,0.402252,0.402252,0.000000,1.938835,105.2346,0.9957,2.1505,0.6984,0.6894,0.5000
2,0.395168,0.395168,0.000000,1.924424,102.8393,1.0648,2.2034,0.7259,0.7157,0.5020
3,0.387548,0.387548,0.000000,1.908583,100.5680,1.1775,2.2752,0.7998,0.7403,0.5993
4,0.379136,0.379118,0.001776,1.890816,98.3260,1.3241,2.3491,0.9123,0.7611,0.6557
5,0.370174,0.370118,0.005610,1.871934,96.1209,1.4927,2.4348,1.0463,0.7967,0.7306
6,0.360792,0.360103,0.068913,1.850487,93.4534,1.6899,2.5373,1.1310,0.8196,0.7827
7,0.352603,0.350926,0.167744,1.829917,92.0658,1.8820,2.6367,1.1663,0.8119,0.8052
8,0.344041,0.341656,0.238444,1.808749,90.2648,2.1067,2.7142,1.2412,0.7867,0.8145
9,0.335355,0.332121,0.323354,1.786496,88.7520,2.3429,2.8067,1.2902,0.7663,0.8178
10,0.325858,0.321946,0.391144,1.762343,86.3628,2.6087,2.8787,1.3187,0.7446,0.8240
11,0.315183,0.310651,0.453212,1.735194,83.1256,2.9328,2.9398,1.3624,0.7038,0.8294
12,0.302189,0.297368,0.482143,1.704653,77.5547,3.2921,3.0283,1.3670,0.6531,0.8190
13,0.288070,0.283083,0.498698,1.672358,71.4658,3.6536,3.1315,1.3649,0.6463,0.8088
14,0.275857,0.270884,0.497326,1.642237,65.7518,3.9353,3.2318,1.3129,0.6351,0.7916
15,0.266731,0.262366,0.436442,1.618170,62.9022,4.1699,3.3264,1.2424,0.6296,0.7979
16,0.259360,0.255594,0.376619,1.597066,60.9258,4.3460,3.4416,1.1524,0.6232,0.7794
17,0.252851,0.249727,0.312450,1.576692,61.0550,4.5083,3.4912,1.1062,0.5899,0.7828
18,0.246687,0.244374,0.231381,1.558809,59.7381,4.6428,3.5739,1.0515,0.5938,0.7771
19,0.241108,0.239175,0.193374,1.538796,59.2753,4.7999,3.6412,0.9826,0.5699,0.7818
20,0.235973,0.234666,0.130780,1.521928,58.8642,4.9234,3.7127,0.9496,0.5741,0.7754
21,0.231045,0.229796,0.124901,1.502353,58.0233,5.0560,3.7964,0.9394,0.5701,0.7799
22,0.226838,0.225594,0.124338,1.485362,57.5334,5.1728,3.8439,0.9185,0.5713,0.7694
23,0.223130,0.221939,0.119115,1.467770,57.2739,5.3023,3.9217,0.9129,0.5434,0.7724
24,0.219910,0.218778,0.113130,1.454142,57.9456,5.4126,3.9753,0.9155,0.5279,0.7633
25,0.216868,0.215584,0.128408,1.439100,57.3192,5.5010,3.9899,0.9363,0.5320,0.7668
26,0.213858,0.212720,0.113819,1.426472,57.1436,5.6025,4.0553,0.9372,0.5343,0.7592
27,0.211009,0.209901,0.110777,1.412200,56.8861,5.6880,4.0793,0.9315,0.5108,0.7568
