epoch,train_loss,train_mae,train_mape,val_loss,val_mae,val_mape,mean_alpha,mean_K,mean_beta
1,0.573225,2.140088,112.6905,0.271510,1.089959,86.7220,1.0345,3.5650,0.0295
2,0.524514,2.110348,120.6705,0.263352,1.064617,83.1251,1.5075,4.4484,0.0828
3,0.381685,1.935044,113.9169,0.211283,0.977776,81.9765,3.7615,6.2428,1.0260
4,0.286712,1.764691,112.9922,0.277281,1.109426,132.8285,6.6324,9.8372,0.1678
5,0.272013,1.701264,120.0677,0.289501,1.145842,133.6096,7.1265,9.7578,0.2211
6,0.304190,1.739724,132.1482,0.274446,1.083961,82.4126,3.3947,4.6681,0.0891
7,0.269265,1.632947,119.4533,0.295965,1.126319,82.7144,2.7050,3.5460,0.4575
8,0.235204,1.515293,102.2688,0.253296,1.059656,80.4199,3.6720,4.8550,0.5698
9,0.233097,1.533132,111.3774,0.179977,0.913515,89.8867,5.4832,7.2650,0.2937
10,0.232476,1.463588,109.9331,0.183202,0.922274,92.4311,5.5689,7.2498,0.2078
11,0.237720,1.494547,113.8686,0.192217,0.935047,103.3341,6.3888,8.1037,0.1771
12,0.256497,1.529344,120.7532,0.206667,0.978842,110.6007,6.7797,8.6910,0.1243
13,0.268740,1.538397,124.6353,0.221764,0.996904,80.6634,4.4186,5.4816,0.2880
14,0.239404,1.468342,114.9102,0.187233,0.933259,91.2510,5.6103,7.0993,0.2061
15,0.241268,1.459023,115.9325,0.192644,0.949281,85.2853,5.1386,6.5396,0.2827
16,0.239031,1.454630,113.5369,0.189250,0.942027,86.8265,5.2968,6.7117,0.3049
17,0.236437,1.437594,113.4674,0.194542,0.951775,84.4100,4.9549,6.2833,0.3066
18,0.233943,1.440678,113.0565,0.193944,0.951920,83.8945,4.8760,6.3033,0.3128
19,0.229082,1.420387,112.0805,0.190672,0.946324,84.8814,4.8519,6.4067,0.3302
20,0.231127,1.426160,111.5653,0.191562,0.948193,85.0459,4.9346,6.4050,0.2906
21,0.229333,1.418282,112.6307,0.191031,0.948711,85.1275,4.9246,6.4242,0.3363
22,0.229499,1.413401,111.2049,0.188525,0.941211,87.8880,5.1438,6.6403,0.2834
23,0.231444,1.418876,113.7837,0.192440,0.951324,84.7122,4.8763,6.2293,0.3372
24,0.227750,1.405775,112.1533,0.189490,0.944431,85.6102,4.8119,6.1872,0.3275
25,0.229391,1.406223,112.2708,0.194929,0.960004,83.5743,4.5182,5.8099,0.3454
26,0.227966,1.404999,112.0536,0.187293,0.945315,84.8490,4.9543,6.3288,0.3517
27,0.226621,1.390539,111.8446,0.185599,0.936838,86.2801,5.0197,6.3719,0.3068
28,0.229196,1.400872,113.3121,0.187398,0.946578,84.9908,4.6781,6.0295,0.3365
29,0.228475,1.392990,112.7927,0.200628,0.986137,83.4139,4.1853,5.4171,0.3945
30,0.226532,1.395866,112.3404,0.212262,1.019370,83.4450,4.1797,5.2042,0.5261
31,0.216832,1.376661,109.7303,0.215892,1.026367,83.1628,4.1616,5.2609,0.6241
32,0.216082,1.366872,109.4974,0.218360,1.029889,83.1274,4.0939,5.1492,0.6074
33,0.215983,1.369262,109.2718,0.217471,1.029343,83.1753,4.0894,5.1729,0.6444
34,0.216033,1.371501,109.4235,0.216581,1.028994,83.4627,4.1226,5.1275,0.5970
35,0.215831,1.368301,109.3552,0.215659,1.028248,83.4814,4.1231,5.1624,0.6407
36,0.215642,1.367529,109.5846,0.213408,1.026342,83.8662,4.1397,5.2561,0.5905
37,0.215789,1.368405,109.5536,0.213634,1.026782,83.9138,4.1616,5.1799,0.5833
38,0.215506,1.364975,109.5569,0.213097,1.026313,83.8816,4.1470,5.2032,0.6281
39,0.215333,1.365415,109.5158,0.211313,1.024565,84.1926,4.1752,5.2420,0.5857
40,0.215197,1.363647,109.7583,0.210719,1.024081,84.2638,4.1703,5.2867,0.5890
41,0.214858,1.361070,109.1637,0.208619,1.021505,84.5411,4.2095,5.3330,0.5644
42,0.214874,1.360590,109.4110,0.208688,1.021773,84.5947,4.2201,5.3214,0.5522
43,0.214587,1.358004,109.4406,0.208167,1.021149,84.6829,4.2319,5.3216,0.5455
44,0.214377,1.355067,109.4617,0.207322,1.020163,84.7808,4.2347,5.3862,0.5440
45,0.214293,1.353397,109.3609,0.206880,1.019542,84.8523,4.2574,5.3909,0.5395
46,0.214126,1.350430,109.3530,0.206810,1.019475,84.8905,4.2655,5.3799,0.5359
47,0.213868,1.347644,109.3607,0.205859,1.018198,85.0027,4.2765,5.4513,0.5302
48,0.213851,1.345044,109.3426,0.205952,1.018366,85.0203,4.2834,5.4424,0.5288
49,0.213695,1.342321,109.3423,0.206045,1.018497,85.0424,4.2877,5.4247,0.5252
50,0.213436,1.339629,109.3350,0.205203,1.017307,85.1429,4.2979,5.4937,0.5202
51,0.213415,1.337031,109.3010,0.205316,1.017478,85.1570,4.3053,5.4840,0.5188
52,0.209768,1.331507,108.9037,0.211992,1.026359,84.1863,4.1885,5.2050,0.6743
53,0.208925,1.327858,107.9325,0.207650,1.020793,84.6976,4.2536,5.3750,0.6253
54,0.208950,1.324502,108.1370,0.208803,1.022451,84.5476,4.2320,5.3444,0.6447
55,0.208715,1.320850,107.9874,0.207414,1.020490,84.6820,4.2572,5.4187,0.6338
56,0.208645,1.317565,108.0038,0.208117,1.021518,84.5895,4.2426,5.3993,0.6465
57,0.208478,1.315533,107.8710,0.207630,1.020757,84.6297,4.2541,5.4136,0.6435
58,0.208374,1.313523,107.8436,0.206850,1.019613,84.6947,4.2679,5.4661,0.6404
59,0.208315,1.310937,107.8426,0.207537,1.020648,84.6116,4.2531,5.4452,0.6514
