epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta
1,0.521148,0.521107,0.000820,1.942361,104.1536,0.7779,2.0703,0.2212
2,0.504815,0.503740,0.021503,1.934494,108.8186,0.7387,3.7267,0.1164
3,0.492435,0.488649,0.075732,1.924997,110.5844,0.7727,4.8716,0.0967
4,0.478685,0.468720,0.199287,1.908642,110.2012,0.9921,5.8152,0.1105
5,0.459023,0.439315,0.394151,1.882311,109.1034,1.2914,6.7117,0.1572
6,0.436968,0.411595,0.507471,1.853808,105.7520,1.4390,7.3680,0.2719
7,0.415868,0.380558,0.706209,1.820246,104.5541,1.7245,7.8657,0.2161
8,0.402278,0.359931,0.846949,1.795689,103.6150,1.8849,7.7648,0.3576
9,0.392840,0.340929,1.038218,1.771544,103.6159,2.0084,7.8742,0.2427
10,0.385254,0.327132,1.162426,1.752289,102.9698,2.0530,7.9500,0.3945
11,0.379177,0.312665,1.330255,1.731772,102.8731,2.1750,8.3056,0.2654
12,0.374660,0.304869,1.395818,1.720775,102.7694,2.1483,8.4121,0.3320
13,0.369058,0.292229,1.536584,1.702711,102.5408,2.0197,7.7671,0.3914
14,0.366476,0.288950,1.550525,1.697160,101.8660,2.2782,8.2314,0.3065
15,0.364386,0.282682,1.634084,1.688545,102.1280,2.2172,8.1923,0.3884
16,0.361745,0.276646,1.701978,1.679527,102.1329,2.2654,8.2726,0.3601
17,0.360017,0.273945,1.721450,1.676202,102.1560,2.1716,8.0003,0.3732
18,0.358293,0.272773,1.710405,1.674857,101.9872,2.2803,8.0952,0.3263
19,0.356978,0.269318,1.753194,1.669060,102.0468,2.2817,8.0723,0.4034
20,0.355942,0.264354,1.831773,1.660927,102.5617,2.3786,8.3004,0.2668
21,0.355141,0.264882,1.805186,1.661993,102.6288,2.3391,8.2117,0.3427
22,0.353828,0.261013,1.856303,1.655195,102.5559,2.3948,8.2800,0.3158
23,0.353073,0.259387,1.873730,1.652380,102.8514,2.4184,8.3056,0.3016
24,0.352317,0.257761,1.891127,1.649417,103.0394,2.4424,8.3181,0.2920
25,0.351651,0.256281,1.907400,1.646553,103.1708,2.4643,8.3198,0.2856
26,0.351053,0.254929,1.922474,1.643810,103.2631,2.4845,8.3140,0.2813
27,0.350514,0.253698,1.936337,1.641204,103.3287,2.5033,8.3029,0.2784
28,0.350027,0.252577,1.949016,1.638739,103.3751,2.5210,8.2880,0.2766
29,0.349585,0.251554,1.960605,1.636413,103.4074,2.5375,8.2703,0.2757
30,0.349180,0.250621,1.971183,1.634222,103.4288,2.5530,8.2508,0.2754
31,0.348915,0.248626,2.005790,1.629995,103.6266,2.6381,8.5201,0.2572
32,0.348680,0.247342,2.026770,1.626455,103.7237,2.5877,8.4250,0.2751
33,0.348166,0.247094,2.021452,1.625790,103.4977,2.5968,8.3650,0.2804
34,0.347870,0.246665,2.024103,1.624593,103.4244,2.6042,8.3139,0.2855
35,0.347682,0.245248,2.048674,1.621590,103.5314,2.6748,8.5543,0.2734
36,0.347588,0.244242,2.066922,1.618429,103.6070,2.7427,8.5513,0.2643
37,0.348195,0.245540,2.053117,1.620124,103.8115,2.7633,8.6309,0.2687
38,0.347982,0.242953,2.100590,1.614044,103.8476,2.6964,8.5467,0.2932
39,0.347496,0.243783,2.074271,1.615822,103.5438,2.6400,8.4502,0.2613
40,0.346458,0.243300,2.063156,1.616265,104.0132,2.6970,8.5708,0.2527
41,0.346379,0.241005,2.107485,1.610075,103.8062,2.6387,8.4892,0.2834
42,0.346085,0.241891,2.083872,1.611997,103.3841,2.6992,8.6044,0.2853
43,0.346056,0.239369,2.133740,1.605767,103.4548,2.6684,8.5604,0.2922
44,0.345581,0.241063,2.090359,1.610183,103.8771,2.6290,8.5885,0.2745
45,0.345536,0.239713,2.116476,1.606249,103.4283,2.7120,8.4131,0.2718
46,0.346551,0.242046,2.090094,1.610879,103.5425,2.7091,8.6945,0.2725
47,0.345593,0.238418,2.143501,1.602546,103.7409,2.6374,8.4176,0.2739
48,0.345302,0.240533,2.095389,1.608650,103.7716,2.7431,8.7707,0.2534
49,0.345416,0.238233,2.143679,1.601542,103.6894,2.6920,8.4962,0.2376
50,0.346385,0.242183,2.084038,1.609734,103.5325,2.7013,8.7532,0.2479
51,0.345226,0.237741,2.149708,1.599798,103.4692,2.6461,8.4693,0.2652
52,0.344959,0.239929,2.100599,1.606408,103.9051,2.7140,8.7745,0.2692
53,0.344883,0.237557,2.146521,1.599395,103.5065,2.7466,8.7010,0.2363
54,0.345947,0.239593,2.127091,1.602503,103.5602,2.6665,8.7042,0.2550
55,0.345553,0.240420,2.102650,1.604128,103.7102,2.6973,8.6880,0.2175
56,0.345461,0.239792,2.113380,1.603725,103.9591,2.6365,8.7539,0.2447
57,0.344448,0.238584,2.117276,1.601684,103.5013,2.7061,8.8569,0.2513
58,0.344216,0.237105,2.142230,1.598269,103.8304,2.6977,8.6974,0.2548
59,0.345209,0.238903,2.126128,1.601057,103.8237,2.6398,8.7310,0.2535
60,0.344188,0.237080,2.142159,1.597391,103.3571,2.6730,8.7165,0.2510
61,0.344924,0.240763,2.083218,1.605059,103.6640,2.6083,8.7888,0.2379
62,0.343916,0.238106,2.116199,1.600252,103.5941,2.6972,8.8999,0.2426
63,0.344141,0.236671,2.149407,1.596004,103.4341,2.6720,8.7236,0.2604
64,0.344798,0.239975,2.096469,1.602262,103.5555,2.7219,8.8404,0.2210
65,0.344671,0.237489,2.143630,1.596678,103.8696,2.5950,8.6661,0.2522
66,0.343466,0.238671,2.095904,1.601490,103.8036,2.6948,8.7793,0.2431
67,0.344436,0.237711,2.134491,1.597496,104.0193,2.6240,8.8242,0.2478
68,0.343456,0.236385,2.141417,1.594763,103.3776,2.6630,8.7255,0.2511
69,0.344180,0.239065,2.102301,1.599614,103.6067,2.5876,8.8046,0.2392
70,0.343152,0.237140,2.120241,1.596738,103.5265,2.6780,8.9157,0.2434
71,0.343401,0.236163,2.144758,1.593478,103.3071,2.7040,8.7894,0.2491
72,0.344708,0.239434,2.105475,1.598486,103.4377,2.6395,8.8573,0.2325
73,0.343765,0.237493,2.125427,1.595999,103.6383,2.6121,8.8787,0.2458
74,0.343637,0.238549,2.101760,1.597753,103.5622,2.6138,8.7938,0.2536
75,0.343534,0.238040,2.109889,1.597794,103.8288,2.5986,8.8123,0.2494
76,0.342736,0.236111,2.132492,1.593447,103.4053,2.6788,8.9712,0.2435
77,0.343619,0.237951,2.113363,1.595635,103.7329,2.6512,8.7958,0.2273
78,0.343363,0.236647,2.134326,1.593275,103.7372,2.5943,8.8829,0.2446
