epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta_start,mean_beta_end,mean_t_switch
1,0.523408,0.523408,0.000000,2.967730,79.4516,0.9848,2.1402,0.6882,0.6882,0.5000
2,0.518364,0.518364,0.000000,2.957780,78.1908,1.0232,2.1850,0.6742,0.6755,0.5009
3,0.513561,0.513561,0.000000,2.948252,77.1101,1.0726,2.2359,0.6682,0.6702,0.5236
4,0.508622,0.508622,0.000000,2.938368,76.0626,1.1331,2.2920,0.6715,0.6737,0.5772
5,0.503482,0.503482,0.000000,2.927979,75.0146,1.2042,2.3532,0.6857,0.6788,0.6310
6,0.498141,0.498141,0.000000,2.917065,73.9733,1.2850,2.4190,0.7101,0.6832,0.6805
7,0.492620,0.492546,0.007447,2.905506,72.9297,1.3742,2.4833,0.7429,0.6888,0.7310
8,0.486860,0.486698,0.016216,2.893305,71.8650,1.4707,2.5481,0.7827,0.6971,0.7821
9,0.480713,0.480476,0.023727,2.880214,70.7385,1.5745,2.6171,0.8286,0.7061,0.8265
10,0.474255,0.473935,0.032013,2.866297,69.5171,1.6852,2.6918,0.8798,0.7088,0.8549
11,0.467952,0.467192,0.075950,2.851732,68.3384,1.8021,2.7722,0.9065,0.7071,0.8726
12,0.461907,0.460692,0.121544,2.837317,67.4824,1.9236,2.8565,0.9206,0.7039,0.8862
13,0.455821,0.454185,0.163602,2.822494,66.6991,2.0461,2.9408,0.9492,0.7009,0.8974
14,0.449575,0.447469,0.210573,2.806853,65.7691,2.1682,3.0239,0.9681,0.6987,0.9050
15,0.443220,0.440696,0.252405,2.790756,64.9061,2.2911,3.1060,1.0005,0.6974,0.9111
16,0.436769,0.433710,0.305956,2.773803,63.8861,2.4167,3.1881,1.0216,0.6968,0.9144
17,0.430134,0.426660,0.347386,2.756344,62.9162,2.5470,3.2709,1.0383,0.6970,0.9209
18,0.423369,0.419463,0.390613,2.738903,61.9108,2.6845,3.3545,1.0699,0.6977,0.9234
19,0.416341,0.411966,0.437511,2.720999,60.7073,2.8309,3.4389,1.0894,0.6988,0.9233
20,0.409160,0.404348,0.481173,2.702299,59.4219,2.9874,3.5219,1.1197,0.7003,0.9280
