epoch,train_loss,train_mae,train_mape,val_loss,val_mae,val_mape,mean_alpha,mean_K,mean_beta
1,0.588465,2.250616,108.7832,0.229706,0.796042,205.8459,2.9666,6.7502,0.0296
2,0.524396,2.202004,123.7175,0.192490,0.735240,186.5450,2.7342,8.6457,0.0103
3,0.436316,2.084664,108.4798,0.145588,0.628680,156.6581,3.0678,8.7732,0.0138
4,0.358641,1.943024,101.7786,0.140826,0.610436,147.0465,2.4716,8.0026,0.0200
5,0.310369,1.851912,100.5373,0.132285,0.578763,143.0072,3.2294,7.7734,0.0817
6,0.282153,1.770099,97.9560,0.126500,0.563946,134.3436,3.3471,8.0075,0.4630
7,0.266194,1.711899,98.4233,0.124502,0.544188,132.9187,4.0667,8.5628,0.5515
8,0.257821,1.673203,100.4522,0.124906,0.517905,133.9280,4.6283,8.8892,0.4573
9,0.252518,1.624043,101.4226,0.123953,0.542979,133.9670,4.0145,8.1404,0.3712
10,0.248155,1.607314,99.7551,0.123255,0.534632,133.4903,4.3661,8.3041,0.4076
11,0.246232,1.583218,100.5962,0.123020,0.525773,132.2970,4.5256,8.2242,0.4403
12,0.245528,1.563371,100.3397,0.123252,0.537621,134.3367,4.5255,8.2416,0.3778
13,0.244596,1.559148,99.9611,0.123371,0.526302,133.9608,4.9691,8.5638,0.4311
14,0.244559,1.541210,100.9329,0.125552,0.531860,138.5423,5.1883,8.8031,0.2869
15,0.244977,1.533323,101.1801,0.127121,0.533049,140.5249,5.3813,9.0818,0.2576
16,0.245144,1.528692,101.4182,0.126457,0.525128,138.7701,5.5110,9.1060,0.3132
17,0.245323,1.520203,101.1803,0.127866,0.530023,140.9576,5.6236,9.2394,0.2680
18,0.248126,1.522700,100.8861,0.129779,0.535820,143.4677,5.6933,9.3163,0.1981
19,0.248368,1.522497,100.2316,0.130950,0.531031,143.9934,5.9413,9.5463,0.2145
20,0.250215,1.524368,101.2629,0.133034,0.532593,145.8652,6.1013,9.5692,0.1746
21,0.251314,1.523347,100.8816,0.134717,0.536238,147.6270,6.2349,9.6002,0.1431
22,0.251022,1.525460,102.2829,0.135642,0.539274,148.3358,6.3011,9.8166,0.1628
23,0.250945,1.523969,102.6907,0.135484,0.546921,148.9265,6.2513,9.7762,0.1509
24,0.250453,1.520249,102.2752,0.134159,0.553843,148.4062,6.1210,9.6218,0.1475
25,0.249917,1.523625,103.0513,0.134371,0.555640,148.5766,6.1603,9.7706,0.1561
26,0.249779,1.517822,103.0085,0.134299,0.559509,148.7741,6.1060,9.8590,0.1545
27,0.249846,1.520030,102.9090,0.134224,0.566247,149.0288,6.0586,9.7387,0.1510
28,0.249655,1.518649,103.2000,0.133670,0.566872,148.4168,6.0355,9.8244,0.1654
29,0.248802,1.513527,102.8145,0.133560,0.572073,148.4752,5.9249,9.8302,0.1646
30,0.249160,1.516555,102.9143,0.133268,0.574578,148.1512,5.8724,9.8661,0.1698
31,0.248140,1.512006,102.6246,0.133247,0.575350,148.0492,5.8605,9.8919,0.1770
32,0.248230,1.512611,102.3317,0.132778,0.575936,147.5945,5.8172,9.8706,0.1787
33,0.243898,1.513386,103.8170,0.125409,0.561700,138.4628,5.2316,9.3343,0.2830
34,0.240217,1.498149,102.4598,0.125143,0.562274,137.9807,5.1458,9.1983,0.2823
35,0.239307,1.498050,102.0292,0.125309,0.562998,138.3347,5.1757,9.2244,0.2738
36,0.239180,1.495710,102.1170,0.125413,0.564184,138.4521,5.1579,9.1580,0.2695
37,0.238947,1.494738,102.1691,0.125552,0.564616,138.6947,5.1797,9.1859,0.2652
38,0.238776,1.492132,102.2705,0.125696,0.565183,138.9030,5.1732,9.2247,0.2613
39,0.238725,1.490852,102.4016,0.125771,0.566110,138.9336,5.1522,9.1550,0.2600
40,0.238450,1.489882,102.3278,0.125444,0.564432,138.2458,5.1608,9.1462,0.2827
41,0.238155,1.485537,101.6825,0.125765,0.565322,138.7449,5.1850,9.2180,0.2778
42,0.238286,1.486239,102.4006,0.126103,0.566837,139.3436,5.1728,9.2594,0.2606
43,0.238136,1.484783,102.5108,0.125683,0.565668,138.4790,5.1356,9.1452,0.2821
44,0.237720,1.482120,101.7374,0.126032,0.566543,139.0526,5.1903,9.2013,0.2766
45,0.237710,1.481671,102.3689,0.125827,0.565681,138.6745,5.1697,9.2132,0.2855
46,0.237377,1.477451,101.8089,0.126168,0.566672,139.2270,5.1958,9.2801,0.2776
47,0.237314,1.476938,102.4250,0.125950,0.565835,138.8440,5.1784,9.2842,0.2856
48,0.236942,1.472215,101.8247,0.126265,0.567276,139.3206,5.1999,9.2457,0.2783
49,0.236682,1.471126,102.3721,0.125924,0.565984,138.7562,5.1842,9.2359,0.2902
50,0.236250,1.466290,101.6911,0.126298,0.566987,139.3755,5.2248,9.3022,0.2820
51,0.236402,1.466452,102.3128,0.126139,0.566309,139.1374,5.2338,9.2980,0.2871
52,0.236081,1.460616,101.8318,0.126458,0.567238,139.6490,5.2545,9.3539,0.2795
53,0.236083,1.459840,102.4480,0.126146,0.566190,139.1521,5.2299,9.3471,0.2882
54,0.230819,1.449926,102.7182,0.122911,0.551513,131.6277,4.8285,8.8267,0.4642
55,0.228619,1.443252,100.7232,0.123330,0.554870,133.3246,4.8716,8.8743,0.3985
56,0.228428,1.439339,100.8879,0.123394,0.555422,133.6464,4.8717,8.8542,0.3835
57,0.228273,1.436913,100.9846,0.123448,0.555851,133.9359,4.8797,8.8441,0.3714
58,0.228147,1.434664,101.0732,0.123488,0.556156,134.1561,4.8862,8.8339,0.3622
59,0.228144,1.432521,100.8966,0.123271,0.554497,133.5041,4.8838,8.7991,0.3846
60,0.227877,1.429725,100.9224,0.123401,0.555499,134.0380,4.9025,8.8141,0.3664
61,0.227812,1.428442,101.1110,0.123474,0.556004,134.3098,4.9064,8.8099,0.3560
62,0.227817,1.426913,100.9446,0.123262,0.554421,133.6782,4.9032,8.7813,0.3779
63,0.227538,1.424429,100.9673,0.123389,0.555378,134.1894,4.9216,8.8011,0.3609
64,0.227595,1.423322,100.9113,0.123207,0.553982,133.6227,4.9159,8.7754,0.3805
65,0.227328,1.421041,100.9516,0.123349,0.555037,134.1710,4.9336,8.7982,0.3620
66,0.227272,1.420047,101.1382,0.123440,0.555552,134.4379,4.9356,8.7993,0.3518
67,0.227288,1.418690,100.9723,0.123218,0.554002,133.8130,4.9312,8.7768,0.3735
68,0.226950,1.415601,101.0103,0.123343,0.554590,134.3111,4.9466,8.8619,0.3573
69,0.227083,1.414861,100.9714,0.123159,0.553249,133.7271,4.9337,8.8329,0.3772
70,0.226827,1.412904,101.0048,0.123303,0.554326,134.2653,4.9517,8.8549,0.3591
71,0.226895,1.411999,100.9470,0.123131,0.553025,133.7163,4.9450,8.8310,0.3780
72,0.226632,1.409860,100.9853,0.123275,0.554109,134.2554,4.9615,8.8535,0.3597
73,0.226704,1.409034,100.9300,0.123105,0.552817,133.7115,4.9545,8.8315,0.3783
74,0.226444,1.406919,100.9720,0.123251,0.553903,134.2508,4.9704,8.8552,0.3599
75,0.226517,1.406196,100.9180,0.123083,0.552618,133.7099,4.9631,8.8347,0.3784
76,0.223415,1.399611,101.2705,0.122875,0.549862,132.2693,4.8631,8.7053,0.4195
77,0.223026,1.398579,100.2768,0.122919,0.549528,132.1559,4.8478,8.6896,0.4206
78,0.222895,1.396684,100.2053,0.122965,0.549615,132.2713,4.8486,8.6966,0.4151
79,0.222830,1.395432,100.2354,0.123009,0.549871,132.3717,4.8467,8.6731,0.4101
80,0.222752,1.394929,100.2256,0.123041,0.550031,132.5119,4.8524,8.6796,0.4044
81,0.222697,1.393839,100.2956,0.123068,0.550092,132.6160,4.8544,8.6905,0.4000
82,0.222650,1.393042,100.3331,0.123097,0.550264,132.6770,4.8526,8.6683,0.3969
83,0.222579,1.392671,100.3146,0.123114,0.550335,132.7771,4.8586,8.6761,0.3930
84,0.222529,1.391628,100.3746,0.123130,0.550313,132.8445,4.8606,8.6882,0.3902
85,0.222485,1.390859,100.4009,0.123149,0.550419,132.8733,4.8587,8.6665,0.3884
86,0.222473,1.390485,100.2477,0.123055,0.549372,132.4752,4.8574,8.6585,0.4033
87,0.222346,1.389118,100.2379,0.123071,0.549550,132.6524,4.8676,8.6834,0.3971
88,0.222322,1.388361,100.3403,0.123101,0.549803,132.7392,4.8663,8.6651,0.3934
89,0.222257,1.388158,100.3311,0.123118,0.549902,132.8449,4.8719,8.6756,0.3894
90,0.222269,1.387180,100.2677,0.123031,0.548836,132.4407,4.8662,8.6730,0.4043
91,0.222150,1.386138,100.2317,0.123057,0.549201,132.5983,4.8722,8.6646,0.3985
92,0.222098,1.385850,100.2824,0.123080,0.549397,132.7446,4.8786,8.6777,0.3931
93,0.222065,1.385060,100.3557,0.123106,0.549595,132.8077,4.8773,8.6601,0.3901
94,0.222061,1.384763,100.2132,0.123019,0.548608,132.4297,4.8755,8.6553,0.4043
95,0.221937,1.383450,100.2090,0.123040,0.548822,132.6171,4.8850,8.6826,0.3977
96,0.221914,1.382769,100.3118,0.123074,0.549109,132.7105,4.8829,8.6654,0.3936
97,0.221853,1.382632,100.3022,0.123094,0.549232,132.8224,4.8881,8.6779,0.3894
